Student_ID,Age,Gender,Year_of_Study,Academic_Stress,Social_Support,Financial_Status,Work_Life_Balance,Mental_Health,Healthy_Life_Expectancy,Generosity,Freedom_to_Make_Life_Choices,Ladder_Score_in_Dystopia,Academic_Year,Sports_Engagement,Average_Sleep_Hours,Social_Relationships,Stress_Relief_Activities,Depression,Anxiety,Isolation,Happiness_Level
1,25,Female,2,2.8255081222743947,9.56806042602684,8.207867093403815,6.869882076735797,6.913903804319809,5,10,4.0858378454667665,8,2,5.637674806760851,8.943584087377562,8.560040079794032,1,1.0834255939776114,5.517714222581356,4.299268715062068,6.5629224646804785
2,37,Male,2,2.828349742229629,4.378545235257608,5.487438351496855,5.212026637513759,6.9237988170707,9,3,7.729345861187136,2,2,1.6824507498279382,7.055453335157699,7.5911897656512215,9,1.0,3.60892504872475,1.8824306571425804,3.697414506665761
3,32,Male,3,6.358746565913007,7.652155096835337,5.528166941375752,7.075536380736968,7.240974910529674,6,1,7.25478414816737,10,3,6.518025941164378,7.287919621246,6.818036992915629,3,3.711243709720894,1.7599314660556085,1.0,5.692928529855901
4,29,Male,1,2.702411929682688,7.713146023789935,5.18622951099125,6.612778964146828,7.993394473239429,8,7,5.792160977042323,6,1,2.775627397442883,6.732808434344712,8.392108009991034,7,1.0,3.7871797839619417,1.0,6.902990911170399
5,23,Male,1,6.332625001818424,5.806664398088676,4.930486658311354,4.00338644941789,5.441333247448391,7,5,4.584054105987196,6,2,8.118364580964702,6.712917796884991,5.560224546675558,9,1.0,2.1510754074490537,4.001564513033982,4.440746873112814
6,23,Other,2,5.925182585707902,7.636590906791519,6.589942911417643,7.037586034903443,9.53132208285519,6,10,4.356971775029525,6,2,4.902447470998767,5.958113067522632,6.662620690666973,9,7.19295241109114,2.392873848266566,2.4311575430036334,4.753797775596787
7,22,Other,2,1.5483865424188066,8.919278004640239,3.005484709642711,7.727056485043042,7.3676714265589265,5,7,6.447680345566472,8,3,2.5072130029216755,7.084010190924351,6.698368096599448,10,7.619367312128461,4.5146533642114095,4.994888319347792,3.2921331378131926
8,34,Female,1,3.64487069532869,3.6747717409689034,8.561879153333456,6.342938635180782,8.090191069602707,5,1,4.307532675606985,4,3,2.716027858614637,6.2107534051138025,5.144570112335732,6,2.10191611696173,1.716545968114746,3.774244837242509,3.290152810753581
9,29,Female,3,7.388218806094745,7.754117211236222,4.669155403741079,8.305296206523385,6.057775900366536,7,8,8.19444265934365,3,3,5.6961905835746895,7.4419089221642025,6.370188756573463,8,1.0,4.123133469746449,3.5210632290831336,5.208933385429084
10,31,Other,2,3.0376689377206367,3.2600937695048837,7.443806970876283,3.565192413006096,8.9295732054933,9,3,8.761613176910018,6,1,4.217400220203245,7.1700102189802095,3.8875604786570452,9,5.421716218928077,2.5397939727693215,2.098209842146431,3.575198178638525
11,22,Other,1,4.071191475381225,5.551502794715188,3.4600028052122482,6.935900844263704,6.614421386780403,7,7,5.914391004863815,4,3,4.806692180763719,7.287682043675722,9.86826707149443,3,3.672203205021736,1.98411094415712,4.043288366315379,4.537066582392435
12,38,Male,2,5.924121786503793,9.443749547351418,7.337680261092436,3.6594385872064503,7.416328770240297,8,3,8.277561623844258,2,1,8.225560465394079,8.675129939690226,5.593879317345531,6,4.540034088390573,1.9910621606970353,6.103544995486176,4.993468970252979
13,34,Male,3,6.566781018565191,6.127326949911919,7.3438892156289945,3.771837283533825,5.600340884219336,7,3,5.176902103394504,6,2,3.6015118715418497,6.962282050234409,9.379171197131967,5,1.7304930172764765,1.7720276224388132,1.0,4.402144672746048
